date,vendor,category,amount_usd
2026-04-01,Uber,Transport,18.40
2026-04-02,Whole Foods,Groceries,82.31
2026-04-03,Delta Airlines,Travel,412.00
2026-04-03,Hilton Garden Inn,Travel,189.50
2026-04-04,Starbucks,Food,6.75
2026-04-05,Amazon,Shopping,53.99
2026-04-06,Uber,Transport,22.10
2026-04-07,Trader Joes,Groceries,46.18
2026-04-08,Apple Store,Shopping,1299.00
2026-04-08,Domino's,Food,28.45
2026-04-09,Whole Foods,Groceries,71.04
2026-04-10,Uber,Transport,15.20
2026-04-12,Costco,Groceries,213.77
2026-04-13,Chevron,Transport,52.00
2026-04-15,REI,Shopping,178.40
